id,artist,artist_ja,song,song_ja,url1,url1_channel,url2,url2_channel,benefit_points,created_at
c1ae66f8-bd74-44e8-a97b-e465b62156dc,최수호,チェスホ,I Love you,I Love you,https://www.youtube.com/watch?v=l9Q8zXux4TE,트롯가왕,https://www.youtube.com/watch?v=mrkh9NXhWBc,MBN Music,0,2025-11-23 14:26:47.354301+00
c745f26f-123d-4ee1-bc25-2daefcda76b5,박서진,パクソジン,카멜레온,カメレオン,https://www.youtube.com/watch?v=b-mIvNTtg_w,트롯가왕,https://www.youtube.com/watch?v=N-CEeJJvml4,MBN Music,0,2025-11-23 14:26:47.354301+00
c92d5f2e-d870-461b-87b6-5ef487fc8d07,최수호,チェスホ,모두 잠든 후에,みんなが眠った後,https://www.youtube.com/watch?v=IW_Ky4f7dvA,트롯가왕,https://www.youtube.com/watch?v=SD-JAJcG1Sc,MBN Music,0,2025-11-23 14:26:47.354301+00
c975c79d-6434-4893-8b41-1ec235d5b3da,"타쿠야 , 박서진","タクヤ , パクソジン",겁쟁이,臆病者,https://www.youtube.com/watch?v=f1tozEGeO8c,트롯가왕,https://www.youtube.com/watch?v=i8CGpSBxutU,MBN Music,50000,2025-11-23 14:26:47.354301+00
cbebbc07-31eb-416a-89f9-2875f4709a9e,다케나카 유다이,竹中雄大,달맞이 꽃,ツキミソウ,https://www.youtube.com/watch?v=ZL9mUkh8EHc,트롯가왕,https://www.youtube.com/watch?v=634W1YJz00I,MBN Music,50000,2025-11-23 14:26:47.354301+00
d042d44a-0517-4c96-a772-0e6566bd0936,에녹,エノク,묻어버린 아픔,埋めてしまった痛み,https://www.youtube.com/watch?v=hCXjlIo4ed0,트롯가왕,https://www.youtube.com/watch?v=eks10uWHow0,MBN Music,0,2025-11-23 14:26:47.354301+00
d6fe2d41-dcaa-4fdb-a1a7-4bc3cfcceff9,"마사야 , 조째즈","マサヤ , ジョジェズ",실,糸,https://www.youtube.com/watch?v=tthkgdaeEUI,트롯가왕,https://www.youtube.com/watch?v=UezKGCe9T0E,MBN Music,0,2025-11-23 14:26:47.354301+00
d9763e70-ff19-4fff-b048-2549c4c28e86,박서진,パクソジン,사랑 사랑 누가 말했나,愛 愛 誰が言ったのか,https://www.youtube.com/watch?v=QkFMS4QLQBM,트롯가왕,https://www.youtube.com/watch?v=Zx8UFnpJOTc,MBN Music,50000,2025-11-23 14:26:47.354301+00
e2046a1f-db57-424b-8e9a-e84e2e88e09d,쥬니,ジュニ,10 minutes,10 minutes,https://www.youtube.com/watch?v=jD88bNgG8JI,트롯가왕,https://www.youtube.com/watch?v=0hpgVwiq6e4,MBN Music,0,2025-11-23 14:26:47.354301+00
e4fb8b5f-3815-4299-bf14-16f82aedadb2,김준수,キムジュンス,안동역에서,アンドン駅で,https://www.youtube.com/watch?v=oDQI-ahK0yA,트롯가왕,https://www.youtube.com/watch?v=091vf1LNTpE,MBN Music,0,2025-11-23 14:26:47.354301+00
e6106f7a-6fed-4fcb-8791-f41b2ade2583,타쿠야,タクヤ,히로인,ヒロイン,https://www.youtube.com/watch?v=jIcpVco4rp4,트롯가왕,https://www.youtube.com/watch?v=A5UJZSlVZVQ,MBN Music,0,2025-11-23 14:26:47.354301+00
e774bdf3-daee-4a2e-84d4-9c6d1f14d4ef,박서진,パクソジン,청춘고백,青春告白,https://www.youtube.com/watch?v=mwot7QrK42s,트롯가왕,https://www.youtube.com/watch?v=As706sxdcvg,MBN Music,0,2025-11-23 14:26:47.354301+00
e878661b-0953-4e95-b205-b310c33dca71,마사야,マサヤ,보고싶다,会いたい,https://www.youtube.com/watch?v=VP27khdDWhg,트롯가왕,https://www.youtube.com/watch?v=fN61OsMW8Aw,MBN Music,50000,2025-11-23 14:26:47.354301+00
e9237ff5-3c2b-4a95-9884-4318f7e27246,다케나카 유다이,竹中雄大,로빈슨,ロビンソン,https://www.youtube.com/watch?v=dAxPt1juAJA,트롯가왕,https://www.youtube.com/watch?v=iBACf9tUgUA,MBN Music,0,2025-11-23 14:26:47.354301+00
ec798d2e-9e67-4896-a0b4-3bb9e3169b8d,최수호,チェスホ,인연,縁,https://www.youtube.com/watch?v=4LrGIySNlKs,트롯가왕,https://www.youtube.com/watch?v=CKvFNG0ZoFM,MBN Music,0,2025-11-23 14:26:47.354301+00
f0ab1fdb-e4b8-4a7f-a480-f628990eae65,진해성,ジンへソン,울긴 왜 울어,なんで泣く,https://www.youtube.com/watch?v=q6cud-wDtIk,트롯가왕,https://www.youtube.com/watch?v=WgvEo69zbCw,MBN Music,0,2025-11-23 14:26:47.354301+00
f3630251-e8f7-4897-a50b-20f063840bf4,박서진,パクソジン,사랑가,愛の歌,https://www.youtube.com/watch?v=ckcsbdU7Hbw,트롯가왕,https://www.youtube.com/watch?v=6nhXrpbRj_g,MBN Music,0,2025-11-23 14:26:47.354301+00
